semana,tema,objetivo,metodo,evaluaciones
2,"Estructuras de datos: cadenas, enteros y booleanos. Estructuras de ejecución: for, tuneles","Recorrer y operar sobre una cadena de caracteres. Utilizar un bucle For para guardar y luego recuperar caracteres individuales de un arreglo. Construir arreglos usando usando shift register y por medio de la auto indexación",Práctica guiada ejecutada en clase,
3,"Estructuras de datos: flotantes y arreglos. Estructuras de ejecución: while, casos","Leer la entradas digitales del NI myDAQ y mostrarlas como una arreglo de booleanos. Convertir un arreglo de boleanos en un número entero. Convertir un número entero en una cadena hexadecimal",Práctica realizada por el estudiante usando el instructivo,
4,"Estructuras de datos: clusters. Elementos del panel: gráficos XY. Guardado de datos en archivos","Generar una función senoidal de frecuencia variable usando el formula node. Verificar la aplicación del Teorema de Niquist modificando el tiempo entre adquisiciones de datos. Crear un gráfico tipo chart y otro tipo XY. Guardar los datos en un archivo separado por comas","Práctica guiada ejecutada en clase","Examen corto 1. \href{https://github.com/EIF-TEC/instrumentacion_II/blob/main/assignments/t1.pdf}{Tarea 1}."
